RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.043080555,63,0,37.0,,3,0,0,0,
0.052059029,67,0,0.328398385,5200.0,8,0,1,0,2.0
0.010645886,78,0,0.00733089,3000.0,6,0,0,0,0.0
0.99140172,50,0,0.293349169,3367.0,4,0,0,0,1.0
0.259527035,57,0,0.336941093,5635.0,13,0,1,0,0.0
0.044090924,47,2,0.720263987,13333.0,16,0,7,0,4.0
0.0,35,0,0.106204584,5366.0,3,0,0,0,1.0
0.019509408,79,0,0.003332479,3900.0,5,0,0,0,0.0
0.554883869,63,0,0.379697792,2580.0,6,1,1,0,1.0
0.0,53,0,0.751179245,2543.0,7,0,1,0,0.0
0.211608827,73,0,0.249903883,2600.0,5,0,0,0,0.0
0.422530991,37,0,0.168990976,4875.0,6,0,0,0,0.0
0.135064416,41,1,0.231717204,6166.0,5,0,1,0,0.0
0.0,52,0,0.0,,2,0,0,0,
0.112452195,63,0,4176.0,,7,0,1,0,0.0
0.046871875,57,0,2352.0,,9,0,1,0,0.0
0.231104335,47,0,0.151308115,6000.0,10,0,1,0,0.0
0.393864359,41,0,3039.0,,8,0,2,0,0.0
0.9999999,43,0,0.003599589,5833.0,0,0,0,0,0.0
0.031371079,80,0,0.0566495,3300.0,6,0,0,0,0.0
0.392105607,28,0,0.180363927,5000.0,7,0,0,0,1.0
0.041686005,75,0,0.175938804,2875.0,7,0,0,0,0.0
0.287965052,40,0,0.186120925,15000.0,13,0,2,0,0.0
0.9999999,30,0,1942.0,,4,0,1,0,1.0
0.016093331,46,0,0.547926943,7500.0,7,0,3,0,2.0
0.043243483,65,0,57.0,,7,0,0,0,0.0
0.028667158,66,0,0.328529259,5758.0,9,0,1,0,0.0
0.074147446,36,0,885.0,,5,0,2,0,0.0
0.291917574,62,1,0.486801427,4204.0,9,0,1,0,2.0
0.143022552,39,0,2422.0,,6,0,2,0,4.0
0.989847716,64,0,0.080783843,5000.0,2,1,0,0,1.0
0.170750655,59,0,0.295507015,5630.0,13,0,2,0,0.0
0.114584743,46,0,0.495550445,10000.0,12,0,2,0,3.0
0.073644303,54,0,1.558256173,2591.0,15,0,3,0,0.0
0.033717696,57,0,0.286856838,3750.0,9,0,1,0,0.0
0.152415005,38,0,0.390374332,4113.0,4,0,1,0,0.0
0.0,60,0,1.407432095,6000.0,8,0,2,0,0.0
0.635902666,53,0,0.305512508,4516.0,5,0,1,0,1.0
0.029567468,78,0,0.329981846,7160.0,7,0,1,0,0.0
0.0,85,0,0.0,,2,0,0,0,0.0
0.096825113,54,0,1.024152628,4926.0,18,0,3,0,3.0
0.926147705,35,0,0.009594096,1354.0,1,2,0,0,0.0
0.04351365,39,0,0.444342414,9800.0,5,0,1,0,0.0
0.03125625,52,0,0.28314431,5113.0,16,0,1,0,0.0
0.049020976,65,0,0.313958139,7500.0,4,0,1,0,0.0
0.0,29,0,9.0,,1,0,0,0,0.0
0.370707489,65,0,385.0,,6,0,0,0,
0.130269935,33,0,284.0,,8,0,0,0,0.0
0.062225167,37,0,0.531234749,4097.0,10,0,1,0,0.0
0.023995201,69,0,353.0,,4,0,0,0,0.0
0.0,40,6,0.348954111,6166.0,3,4,1,0,0.0
0.884231537,66,0,0.668332292,1600.0,4,0,1,0,2.0
0.092633677,56,0,0.262832111,10500.0,5,0,1,0,0.0
0.233013696,59,0,0.524781961,4700.0,9,0,1,0,1.0
0.000286525,51,0,0.0,9100.0,4,0,0,0,0.0
0.0,51,0,0.229294379,7666.0,7,0,1,0,2.0
0.094437872,66,0,0.221298064,7333.0,8,0,1,0,0.0
0.185324508,66,0,0.183713886,8583.0,6,0,1,0,0.0
0.295794013,42,0,0.050051423,2916.0,4,0,0,0,1.0
0.045008304,56,0,1016.0,,16,0,1,0,0.0
0.675606299,57,0,2696.0,,4,0,2,0,0.0
0.9999999,24,0,0.0,1120.0,0,0,0,0,0.0
0.0,74,0,0.423986882,4268.0,7,0,1,0,0.0
0.569330148,73,5,0.41223598,2745.0,8,0,1,1,0.0
0.05676666,26,0,317.0,,7,0,0,0,0.0
0.014715537,35,0,1556.0,,7,0,1,0,
0.9999999,33,0,2037.0,,6,0,2,0,
0.0,53,1,0.0,6747.0,1,0,0,0,3.0
0.376703497,72,0,0.397447183,4543.0,10,0,3,0,0.0
0.016527678,62,0,0.549828179,3200.0,16,0,2,0,1.0
0.054165055,35,0,0.02917342,1850.0,5,0,0,0,0.0
0.396815241,37,0,0.547556555,8000.0,9,0,2,0,1.0
0.031454661,60,0,0.326744052,8700.0,7,0,2,0,0.0
0.098828723,39,0,0.251961237,6500.0,9,0,1,0,3.0
